"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\Adriaan M. Dimate\Desktop\development\school\botchabuster\frontend\src\lib\reports\pdf\pageFrames.ts", "TypeScript", 8, 0, 0, 8
"c:\Users\Adriaan M. Dimate\Desktop\development\school\botchabuster\frontend\tests\unit\domain\analysis\report-letterhead-assets.unit.test.ts", "TypeScript", 56, 0, 8, 64
"c:\Users\Adriaan M. Dimate\Desktop\development\school\botchabuster\frontend\tests\unit\domain\analysis\report-pdf-doc-definition.unit.test.ts", "TypeScript", 52, 0, 7, 59
"Total", "-", 116, 0, 15, 131
